countryId,bankCode,ispb,bankName
1,001,00000000,Banco do Brasil S.A.
1,003,04902979,Banco da Amazonia S.A.
1,004,07237373,Banco do Nordeste do Brasil S.A.
1,007,33657248,BNDES
1,010,81723108,Credicoamo
1,011,61809182,C.suisse Hedging-griffo CV S/A
1,012,04866275,Banco Inbursa
1,014,09274232,State Street BR S.A. Banco Comercial
1,015,02819125,UBS Brasil CCTVM S.A.
1,016,04715685,CCM Desp Trâns SC E RS
1,017,42272526,BNY Mellon Banco S.A.
1,018,57839805,Banco Tricury S.A.
1,021,28127603,Banco Banestes S.A.
1,024,10866788,Banco Bandepe S.A.
1,025,03323840,Banco Alfa S.A.
1,029,33885724,Banco Itaú Consignado S.A.
1,033,90400888,Banco Santander (brasil) S.A.
1,036,06271464,Banco BBI S.A.
1,037,04913711,Banco do Est. do PA S.A.
1,040,03609817,Banco Cargill S.A.
1,041,92702067,Banco do Estado do RS S.A.
1,047,13009717,Banco do Est. de SE S.A.
1,060,04913129,Confidence CC S.A.
1,062,03012230,Hipercard BM S.A.
1,063,04184779,Banco Bradescard
1,064,04332281,Goldman Sachs do Brasil BM S.A
1,065,48795256,Banco Andbank S.A.
1,066,02801938,Banco Morgan Stanley S.A.
1,069,61033106,Banco Crefisa S.A.
1,070,00000208,BRB - Banco de Brasilia S.A.
1,074,03017677,Banco J.safra S.A.
1,075,03532415,Banco Abn Amro S.A.
1,076,07656500,Banco KDB Brasil S.A.
1,077,00416968,Banco Inter
1,078,34111187,Haitong BI do Brasil S.A.
1,079,09516419,Picpay Bank - Banco Múltiplo S.A
1,080,73622748,B&T CC LTDA.
1,081,10264663,Bancoseguro S.A.
1,082,07679404,Banco Topázio S.A.
1,083,10690848,Banco da China Brasil S.A.
1,084,02398976,Uniprime do Brasil - Coop
1,085,05463212,Coopcentral Ailos
1,088,11476673,Banco Randon S.A.
1,089,62109566,Credisan CC
1,092,12865507,BRK S.A. CFI
1,093,07945233,Polocred SCMEPP LTDA.
1,094,11758741,Banco Finaxis
1,095,11703662,Travelex Banco de Câmbio S.A.
1,096,00997185,Banco B3 S.A.
1,097,04632856,Credisis Central de Cooperativas de Crédito LTDA.
1,098,78157146,Credialiança CCR
1,099,03046391,Uniprime Coopcentral LTDA.
1,100,00806535,Planner CV S.A.
1,101,62287735,Renascenca DTVM LTDA
1,102,02332886,XP Investimentos CCTVM S/A
1,104,00360305,Caixa Economica Federal
1,105,07652226,Lecca CFI S.A.
1,107,15114366,Banco Bocom BBM S.A.
1,108,01800019,Portocred S.A. - CFI
1,111,36113876,Oliveira Trust DTVM S.A.
1,113,61723847,Neon CTVM S.A.
1,114,05790149,Central Cooperativa de Crédito no Estado do Espírito Santo
1,117,92856905,Advanced CC LTDA
1,119,13720915,Banco Western Union
1,120,33603457,Banco Rodobens S.A.
1,121,10664513,Banco Agibank S.A.
1,122,33147315,Banco Bradesco BERJ S.A.
1,124,15357060,Banco Woori Bank do Brasil S.A.
1,125,45246410,Banco Genial
1,126,13220493,BR Partners BI
1,127,09512542,Codepe CVC S.A.
1,128,19307785,MS Bank S.A. Banco de Câmbio
1,129,18520834,UBS Brasil BI S.A.
1,130,09313766,Caruana SCFI
1,131,61747085,Tullett Prebon Brasil CVC LTDA
1,132,17453575,Icbc do Brasil BM S.A.
1,133,10398952,Cresol Confederação
1,134,33862244,BGC Liquidez DTVM LTDA
1,136,00315557,Conf Nac Coop Centrais Unicred
1,138,10853017,Get Money CC LTDA
1,139,55230916,Intesa Sanpaolo Brasil S.A. BM
1,140,62169875,NU Invest Corretora de Valores S.A.
1,142,16944141,Broker Brasil CC LTDA.
1,143,02992317,Treviso CC S.A.
1,144,13059145,Bexs Banco de Cambio S.A.
1,145,50579044,Levycam CCV LTDA
1,146,24074692,Guitta CC LTDA
1,149,15581638,Facta S.A. CFI
1,157,09105360,Icap do Brasil CTVM LTDA.
1,159,05442029,Casa Credito S.A. SCM
1,163,23522214,Commerzbank Brasil S.A. - Banco Múltiplo
1,173,13486793,BRL Trust DTVM SA
1,174,43180355,Pefisa S.A. - C.F.I.
1,177,65913436,Guide
1,180,02685483,CM Capital Markets CCTVM LTDA
1,183,09210106,Socred SA - SCMEPP
1,184,17298092,Banco Itaú Bba S.A.
1,188,33775974,Ativa S.A. Investimentos CCTVM
1,189,07512441,HS Financeira
1,190,03973814,Servicoop
1,191,04257795,Nova Futura CTVM LTDA.
1,194,20155248,Parmetal DTVM LTDA
1,195,07799277,Valor SCD S.A.
1,196,32648370,Fair CC S.A.
1,197,16501555,Stone IP S.A.
1,208,30306294,Banco Btg Pactual S.A.
1,212,92894922,Banco Original
1,213,54403563,Banco Arbi S.A.
1,217,91884981,Banco John Deere S.A.
1,218,71027866,Banco Bs2 S.A.
1,222,75647891,Banco Crédit Agricole BR S.A.
1,224,58616418,Banco Fibra S.A.
1,233,62421979,Banco Cifra
1,237,60746948,Banco Bradesco S.A.
1,241,31597552,Banco Classico S.A.
1,243,33923798,Banco Master
1,246,28195667,Banco Abc Brasil S.A.
1,249,61182408,Banco Investcred Unibanco S.A.
1,253,52937216,Bexs CC S.A.
1,254,14388334,Parana Banco S.A.
1,259,08609934,Moneycorp Banco de Câmbio S.A.
1,260,18236120,NU Pagamentos - IP
1,265,33644196,Banco Fator S.A.
1,266,33132044,Banco Cedula S.A.
1,268,14511781,Bari CIA Hipotecária
1,269,53518684,Banco HSBC S.A.
1,270,61444949,Sagitur CC
1,271,27842177,IB CCTVM S.A.
1,272,00250699,AGK CC S.A.
1,273,08253539,CCR de São Miguel do Oeste
1,274,11581339,Bmp SCMEPP LTDA
1,276,11970623,Banco Senff S.A.
1,278,27652684,Genial Investimentos CVM S.A.
1,279,26563270,Coop de Primavera do Leste
1,280,23862762,Will Financeira S.A.CFI
1,281,76461557,CCR Coopavel
1,283,89960090,RB Investimentos DTVM LTDA.
1,285,71677850,Frente CC LTDA.
1,286,07853842,CCR de Ouro
1,288,62237649,Carol DTVM LTDA.
1,289,94968518,EFX CC LTDA.
1,290,08561701,Pagseguro Internet IP S.A.
1,292,28650236,Bs2 DTVM S.A.
1,293,71590442,Lastro RDV DTVM LTDA
1,296,04062902,OZ Corretora de Câmbio S.A.
1,298,17772370,Vips CC LTDA.
1,299,04814563,Banco Sorocred S.A. - BM
1,300,33042151,Banco la Nacion Argentina
1,301,13370835,Dock IP S.A.
1,306,40303299,Portopar DTVM LTDA
1,307,03751794,Terra Investimentos DTVM
1,309,14190547,Cambionet CC LTDA
